block_id,drug_1,drug_2,conc_drug_1,conc_drug_2,response,conc_drug_1_unit,conc_drug_2_unit,cell
1,752,3088,100.0,1000.0,85.979,nM,nM,786-0
1,752,3088,100.0,10000.0,100.90299999999999,nM,nM,786-0
1,752,3088,100.0,100000.0,14.147,nM,nM,786-0
1,752,3088,1000.0,1000.0,71.268,nM,nM,786-0
1,752,3088,1000.0,10000.0,89.27799999999999,nM,nM,786-0
1,752,3088,1000.0,100000.0,7.007000000000001,nM,nM,786-0
1,752,3088,10000.0,1000.0,22.288,nM,nM,786-0
1,752,3088,10000.0,10000.0,35.096,nM,nM,786-0
1,752,3088,10000.0,100000.0,10.117,nM,nM,786-0
1,752,3088,100.0,0.0,93.91844444444445,nM,nM,786-0
1,752,3088,1000.0,0.0,82.18655555555557,nM,nM,786-0
1,752,3088,10000.0,0.0,33.272666666666666,nM,nM,786-0
1,752,3088,0.0,100.0,95.51218750000001,nM,nM,786-0
1,752,3088,0.0,1000.0,95.76626829268295,nM,nM,786-0
1,752,3088,0.0,10000.0,82.1296097560976,nM,nM,786-0
1,752,3088,0.0,100000.0,15.711400000000003,nM,nM,786-0
2,752,8806,100.0,100.0,89.484,nM,nM,786-0
2,752,8806,100.0,1000.0,101.11200000000001,nM,nM,786-0
2,752,8806,100.0,10000.0,43.405,nM,nM,786-0
2,752,8806,1000.0,100.0,61.621,nM,nM,786-0
2,752,8806,1000.0,1000.0,91.28399999999999,nM,nM,786-0
2,752,8806,1000.0,10000.0,42.113,nM,nM,786-0
2,752,8806,10000.0,100.0,23.289,nM,nM,786-0
2,752,8806,10000.0,1000.0,38.437,nM,nM,786-0
2,752,8806,10000.0,10000.0,21.486,nM,nM,786-0
2,752,8806,100.0,0.0,93.91844444444445,nM,nM,786-0
2,752,8806,1000.0,0.0,82.18655555555557,nM,nM,786-0
2,752,8806,10000.0,0.0,33.272666666666666,nM,nM,786-0
2,752,8806,0.0,10.0,98.25299999999999,nM,nM,786-0
2,752,8806,0.0,100.0,102.4834,nM,nM,786-0
2,752,8806,0.0,1000.0,103.80940000000001,nM,nM,786-0
2,752,8806,0.0,10000.0,58.40749999999999,nM,nM,786-0
2,752,8806,0.0,100000.0,-28.215,nM,nM,786-0
